loc_name,muni,address,prov
One Plant Kensington Market,Toronto,241 Augusta Ave,Ontario
Lush Cannabis Company,Cavan,1521 County Rd 10,Ontario
The Hunny Pot Cannabis Co.,Toronto,202 Queen St W,Ontario
Budssmoke,Burlington,2017 Lakeshore Rd,Ontario
Uncle Herbs Cannabis,Nepean,1527 Merivale Rd,Ontario
The Good Cannabis Company,Ottawa,809 Bank St,Ontario
Sticky Nuggz Queen East,Toronto,521 Queen St E,Ontario
Rabbt Hole,Ottawa,503 Rideau St,Ontario
Toronto Cannabis Authority,Toronto,229 Queen St W,Ontario
Ashario,Aurora,15114 Yonge St,Ontario
Tokyo Smoke Rideau Centre,Ottawa,50 Rideau St Unit 123B,Ontario
Mellow Leaf,Peterborough,724 Lansdowne St W,Ontario
Bodega,Toronto,198 Ossington Ave,Ontario
The Hunny Pot Cannabis Co.,Niagara Falls,7481 Oakwood Dr,Ontario
Hobo Cannabis Store Yonge St.,Toronto,577 Yonge St,Ontario
The Hunny Pot Cannabis Co.,Toronto,2903 Dundas St W,Ontario
Malibu Road,Aurora,150 Hollidge Blvd Unit 5,Ontario
Fika Distillery,Toronto,49 Tank House Lane,Ontario
Wychwood Cannabis,Toronto,673 St Clair Ave W,Ontario
The We Store,Windsor,1565 Wyandotte St E,Ontario
Old West Cannabis Company,Oshawa,215 King St E,Ontario
Trinity Flower,Toronto,890 Queen St W,Ontario
Wavy,Gloucester,2084 Montreal Rd,Ontario
True North Cannabis Co.,St Catharines,92 Pelham Rd,Ontario
The Neighbourhood Joint (East York),East York,1064 Coxwell Ave,Ontario
The Hunny Pot Cannabis Co.,Toronto,2103 Yonge St,Ontario
Qunubu Cannabis,North York,274 Wilson Ave,Ontario
Camp Cannabis,Burlington,3007 New St,Ontario
Cosmic Charlie'S,Toronto,821 Queen St W,Ontario
Your Local Cannabis,Stouffville,5892 Main St Unit 301,Ontario
Central Plains Cannabis,Newcastle,34 Beaver St N,Ontario
Dynasty Pot Shop,Toronto,1250 Dupont St Unit 1,Ontario
The Bakery Cannabis,Toronto,3060 Dundas St W,Ontario
Tokyo Smoke Kingston,Kingston,1011 Princess St,Ontario
The Grass Hut,Hamilton,1023 King St W,Ontario
Highlife Cannabis Brantford,Brantford,10 Stanley St,Ontario
Giggle Leaf,Parry Sound,1 Horseshoe Lake Road,Ontario
Highlife Cannabis Peterborough,Peterborough,119 George St N,Ontario
Greenhead Cannabis,Shelburne,116 Main St E,Ontario
Canna North Cannabis Store,Toronto,117 Yonge St,Ontario
Budtimez,Midhurst,1179 Bayfield St N,Ontario
Toke Cannabis,Sudbury,1133 Notre Dame Ave,Ontario
The Hunny Pot Cannabis Co.,Waterloo,114 King St S,Ontario
Auraleaf,Welland,115 Division St,Ontario
Canna Cabana,Ottawa,111 Rideau St,Ontario
Flowertopia Cannabis,Toronto,1278 Bloor St W,Ontario
Bonnefire,Toronto,129 Munro St,Ontario
Greenhouse,Hamilton,1216 Upper Wentworth St,Ontario
Caribbean Oxygen,Cambridge,124 Main St,Ontario
Mirage Cannabis,East York,1229 Broadview Ave,Ontario
Tweed,Oshawa,1311 Harmony Rd N,Ontario
Matchbox Cannabis,Sault Ste. Marie,146 Queen St E,Ontario
Queen George Cannabis,Hamilton,140 Caroline St S,Ontario
Due North Cannabis Co.,Hamilton,1580 Main St W,Ontario
Crossroads Cannabis,Markdale,155 Toronto St N,Ontario
Spark Cannabis,Aurora,15191 Yonge St,Ontario
