loc_name,muni,address,prov
West End Cannabis Co.,Red Lake,260 Howey Street,Ontario
One Plant St. Catharines,St Catharines,343 Glendale Ave Suite 520,Ontario
Sweet Seven Cannabis Co.,Sudbury,1650 Regent St,Ontario
Pot Of Gold,Cornwall,44 Pitt St Suite A,Ontario
Pur Cannabis – Wyndham N,Guelph,37A Wyndham St N,Ontario
The Cannabist Shop,Guelph,69 Macdonell St,Ontario
The Peace Pipe ,Cobourg,1 King St E Unit 1A,Ontario
Temagami Cannabis Company,Temagami,6 Lakeshore Drive,Ontario
The 4Ssst,Uxbridge,2B Welwood Drive ,Ontario
Vip Cannabis Company,Hanover,302 10Th St,Ontario
Hello Cannabis Main East,Hamilton,1557 Main St E Unit 2-4,Ontario
The Hunny Pot Cannabis Co.,Milton,101 James Snow Pky N Unit#6 & 7,Ontario
Capturing Eden,Simcoe,421 Queensway W Unit 2 & 3,Ontario
Nature'S Canopy House,Oshawa,22 Stevenson Rd S Unit A3,Ontario
Nature'S Canopy House,Niagara Falls,6240 Mcleod Rd Unit 1,Ontario
Dream Cannabis,Kemptville,202-3000 Wellington Road,Ontario
Chamba Cannabis Co,Waterloo,425 University Ave E Unit D,Ontario
Ouid,Stittsville,5754 Hazeldean Rd Unit A3,Ontario
Haight - Ashbury,Wallaceburg,302 James St,Ontario
Tokyo Smoke 715 Danforth,Toronto,715 Danforth Ave Unit A,Ontario
Cannabis Stop Inc.,Shelburne,171 Main St W Suite 101,Ontario
True North Cannabis Co.,Welland,16 Steel St,Ontario
True North Cannabis Co.,Cambridge,51 Main St,Ontario
True North Cannabis Co.,Chatham,85 King St W,Ontario
True North Cannabis Co.,Windsor,1368 Ottawa St,Ontario
True North Cannabis Company,Sarnia,129 Mitton St S,Ontario
1 Stop Cannabis ,Simcoe,36 Norfolk St S,Ontario
True North Cannabis Company,Port Colborne,349 King St,Ontario
Cabin Cannabis ,Toronto,688 Bloor St W,Ontario
Cannabis County,Exeter,378 Main Street South,Ontario
Shinybud Cannabis Co. 8 Beckwith St,Smiths Falls,8 Beckwith St N,Ontario
Gather And Grow Recreational Cannabis,Richmond,6179 Perth St Unit 220,Ontario
Green Light District,Hamilton,1222 Barton St E,Ontario
Cannabis Supply Co.,Brantford,108 Colborne St W Unit D,Ontario
Moksha Cannabis,North York,5 Kenaston Gdns Unit 3,Ontario
Moonfire Cannabis,Owen Sound,1050 2Nd Ave E Suite 5,Ontario
Seven Point Cannabis,Toronto,2114 Bloor St W Unit B,Ontario
Sticky Nuggz Fort York,Toronto,171 Fort York Blvd,Ontario
Chill Cannabis,Sarnia,1407 London Rd Unit 8,Ontario
Creekside Greens,Kemptville,19 Reuben Cres,Ontario
Forty3Eighty Cannabis Co.,Cayuga,"5 Talbot Street East, Unit 1",Ontario
Jolly Green Cannabis,Stouffville,6134 Main St,Ontario
Garden City Cannabis Co,Welland,623 Niagara St,Ontario
Sessions Cannabis Retail,Toronto,140 Spadina Ave Unit A101,Ontario
Tokyo Smoke 250 King East,Toronto,248-250 King St E,Ontario
J. Supply Co. Guelph,Guelph,1515 Gordon St Unit 106,Ontario
Superette,Ottawa,140-142 Fifth Ave,Ontario
Mary J'S Cannabis Cobourg,Cobourg,38 King St W,Ontario
Canaculture Cannabis Store,Toronto,914 Eglinton Ave W,Ontario
Bluebird Cannabis March Road,Kanata,806 March Rd,Ontario
Florenta,Toronto,1114 Queen St E,Ontario
Northbound Cannabis Co.,Sudbury,1984 Regent St Unit 113,Ontario
North 80,Scarborough,19 Milliken Blvd Suite 25C,Ontario
Cannabis Jacks,Val Caron,3020 Old Hwy 69 N Unit 1,Ontario
Shinybud Cannabis Co. Alliston ,Alliston,86 Young St Unit S6B,Ontario
Lagoo,Toronto,102 Harbord St,Ontario
Unplug Cannabis Co.,Ottawa,261 Richmond Road   ,Ontario
Spiritleaf Kemptville,Kemptville,304 Colonnade Dr Unit 300,Ontario
Canna Buzz,Oshawa,142 Simcoe St S,Ontario
Holland Daze,Scarborough,793 Markham Rd,Ontario
Kushys,Petawawa,3025 Petawawa Blvd Unit 11,Ontario
Ronin Cannabis,Guelph,86 Gordon St Unit C,Ontario
Cloud 29 Richmond,London,660 Richmond St Unit 6,Ontario
Cauldron Cannabis,Watford,5294 Nauvoo Road Unit 101,Ontario
Good Cookie Malvern,Scarborough,5741 Finch Ave E Unit 2,Ontario
The Green Cloud Cannabis,Etobicoke,557 Dixon Rd Suite 132,Ontario
Sativa Bliss Cannabis Boutique,Guelph,45 Wyndham St N Unit 103,Ontario
Sativa Bliss Cannabis Boutique,St Catharines,11 Queenston St,Ontario
Toke,Midland,262 King St,Ontario
Grand Cannabis,St Catharines,225 St. Paul St W Unit 4,Ontario
Inspired Cannabis Co,St Catharines,295 Fourth Ave Suite 2,Ontario
Shinybud Cannabis Co. Tilbury,Tilbury,5 Prospect St.,Ontario
Budget Bud Orleans Town Center,Orleans,250 Centrum Blvd Unit 105A,Ontario
Chill Blue Mountain,Blue Mountain,170 Jozo Weider Blvd Unit 61/P1-11,Ontario
Shinybud Cannabis Co. 80 Dufferin,Perth,80 Dufferin St Unit 100,Ontario
The Den Cannabis Store,Angus,173 Mill St Suite 1,Ontario
T Cannabis ,Fort Frances,130 Second St E Unit 2,Ontario
Dama House,North York,5332 Yonge Street,Ontario
The We Store,Sarnia,450 Trudeau Dr Unit 7/8,Ontario
True North Cannabis Co.,Gravenhurst,125 Muskoka Rd S,Ontario
True North Cannabis Co.,Leamington,11 Erie St S Suite 3,Ontario
The Green Hex,Brampton,200 County Court Blvd Suite A2,Ontario
Canna Cabana,Ajax,170 Kingston Rd E Unit B4,Ontario
Canna Cabana,Milton,1155 Maple Ave Unit F014,Ontario
Buds 4 Less,Barrie,145 Mapleview Dr W Unit A,Ontario
Tokyo Smoke,Oshawa,400 King St W Unit 7,Ontario
Canna Cabana,Brampton,148 West Dr Unit C108,Ontario
Canna Cabana,Innisfil,1491 Innisfil Beach Rd Suite 6,Ontario
Canna North Cannabis Store,Ottawa,2547A Baseline Rd,Ontario
Spiritleaf Owen Sound,Owen Sound,910 2Nd Ave E Suite 912,Ontario
Century Cannabis,Toronto,288 Adelaide St. W. ,Ontario
The Higher Cannabis Company,Tilbury,30 Mill St West,Ontario
Pur Cannabis-King W,Kitchener,147 King St W,Ontario
Canna Cabana Fort William,Thunder Bay,949 Fort William Rd Suite D10,Ontario
Multigreen,Brantford,11 Bodine Dr,Ontario
High Park Cannabis Co.,Toronto,3064 Dundas St W,Ontario
The Woods Cannabis,Brampton,5 Montpelier St Unit A103,Ontario
Bullrider,Brampton,67 Selby Rd,Ontario
On The Ridge Co. Cannabis,Niagara Falls,5440 Stanley Ave Unit 2,Ontario
Above The Clouds Cannabis,Etobicoke,1126 The Queensway Unit 1 And 2,Ontario
Cannabuzz Hamilton,Hamilton,1459 Main St E,Ontario
Take Off Cannabis,Thorold,9 Pine St N Unit 28,Ontario
Prairie And Luna Cannabis Co.,Petawawa,3067 Petawawa Blvd Suite 2,Ontario
Kiosk Cannabis,Scarborough,4915 Steeles Ave E Unit 11,Ontario
Athena Cannabis,Ottawa,782 Eagleson Rd Unit D4,Ontario
The We Store,Windsor,6050 Tecumseh Rd E,Ontario
Himalaya Cannabis,Toronto,871 Dundas St W,Ontario
Station House Cannabis Co.,St Thomas,150 Burwell Rd,Ontario
Shinybud Cannabis Co. 2211 Parkedale Ave,Brockville,2211 Parkedale Ave Suite 8A,Ontario
True North Cannabis Co.,Wallaceburg,740 James St,Ontario
Pot Spot,Niagara Falls,5365 Ferry St Unit 2,Ontario
Alpenglow Leaf,Guelph,951 Gordon St Unit 8B,Ontario
Groove Cannabis Co. Inc.,Cornwall,1380 Second St E Unit 26,Ontario
Bananas,Espanola,800 Centre St,Ontario
Buddies Cannabis,Waterloo,25 University Ave E,Ontario
Cannabis Link,London,1295 Highbury Ave N Unit A6B,Ontario
Tokyo Smoke,Waterloo,"655 Erb Street West, Unit 665-500",Ontario
Shinybud Cannabis Co. 431 Main St,Alexandria,431 Main St S Unit F,Ontario
Green Merchant A Cannabis Boutique,Toronto,139 Jefferson Ave Unit G,Ontario
Brainporium,Scarborough,1910 Kennedy Rd Unit 4,Ontario
Greenlight District,Barrie,99 Dunlop St E,Ontario
T Cannabis,New Liskeard,9 Armstrong St N,Ontario
A High Class Joint,Renfrew ,910 O'Brien Rd Unit 1004,Ontario
One Plant Thunder Bay,Thunder Bay ,911 Fort William Rd Unit 4 ,Ontario
Rokeby Cannabis,Bobcaygeon,48 Main Street  Box 909,Ontario
Highq,Thamesford,116 Dundas St E,Ontario
Zephyr Cannabis,Kanata,415C Hazeldean Rd,Ontario
Treetop,Milton,150 Nipissing Rd Unit 3,Ontario
Toronto Cannabis Culture,Toronto,357 Spadina Ave Lower Level,Ontario
Shinybud Cannabis Co. 39 Arnprior,Arnprior,39 Winners Circle Dr Unit 9,Ontario
Cannaverse,St Catharines,150 Hartzel Rd,Ontario
True North Cannabis Co.,Stratford,673 Ontario St,Ontario
True North Cannabis Co,Brantford,153 West St,Ontario
Ace Of Spades Weed Limited,Etobicoke,2135 Lake Shore Blvd W,Ontario
True North Cannabis Co.,Brockville,2107 Parkedale Ave,Ontario
Kush Klub,York,2250 Eglinton Ave W,Ontario
Cost Cannabis,Etobicoke,1123 Albion Rd Unit 3,Ontario
Your Local Cannabis,Scarborough,5981 Steeles Ave E Suite E104,Ontario
Sage Cannabis,Brampton,160 Main St S Unit 17,Ontario
Cannaverse,Toronto,442 Queen St W,Ontario
Shinybud Cannabis Co. 182 King St West,Brockville,182 King St W,Ontario
The Herbary,Kingston,1650 Bath Rd,Ontario
Grand Cannabis,Fonthill,1811 Merrittville Hwy Unit B,Ontario
Hibuzz,Brampton,7955 Financial Dr Unit B,Ontario
Miss Jones,Val Caron,3140 Old Hwy 69 N Unit 25A,Ontario
Kush Korner Cannabis,Etobicoke,2807 Lake Shore Blvd W,Ontario
Cann6Ix,Toronto,424 Eglinton Ave W,Ontario
Shinybud Cannabis Co. 191 Bowmanville,Bowmanville,"191 Church St, Lower Floor ",Ontario
Jackpot,Hamilton,6 Brucedale Ave W,Ontario
Value Buds,Brampton,17 Worthington Ave Unit 7,Ontario
High Tea Cannabis Co.,York,1762 Weston Rd,Ontario
Kootenay Cannabis,Niagara Falls,5927 Thorold Stone Rd,Ontario
Bonnefire,Orillia,34 Mississaga St E,Ontario
Sessions Cannabis - Aurora,Aurora,15480 Bayview Ave Unit D0103,Ontario
The House Of Cannabis - Downtown Kitchener,Kitchener,181 King St W,Ontario
Spiritleaf Ancaster,Ancaster,1090 Wilson St W Unit 3,Ontario
Bud Heaven,Rosseau,1146 Highway 141,Ontario
Cannaera,Aurora,15543 Yonge St Unit 1,Ontario
Cloud Nine Cannabis,Brantford,26 Brantwood Park Rd Unit 4,Ontario
The Cannabis Guys,Brampton,8335 Financial Dr Unit 5-6,Ontario
Spiritleaf South Keys,Ottawa,1009 Daze St Unit D,Ontario
Miss Jones,Gravenhurst,"150 Sharpe Street East, Unit 101",Ontario
Garden Of Eden Cannabis ,Toronto,1744 Jane Street,Ontario
Sessions Cannabis - Carlisle,Carlisle,278 Carlisle Rd,Ontario
Canna Cabana,Ottawa,1910 St. Laurent Blvd Unit C003,Ontario
Shinybud Cannabis Co. College Square,Nepean,1363 Woodroffe Ave Suite D,Ontario
Tonik Cannabis,Brantford,560 West St Suite B,Ontario
Cannaverse,Sudbury,110 Donna Dr Unit D003,Ontario
Cannabis Place,Scarborough ,653 Victoria Park Ave,Ontario
Sativa Bliss Cannabis Boutique,Cambridge,226 Elgin St N Unit 101,Ontario
Highties Cannabis Store,Vanier,177-179 Montreal Rd,Ontario
The Reef Store By The Lake,Wauzhushk Onigum Nation,201 Marina Road,Ontario
Tokyo Smoke,Toronto ,94 Cumberland St Unit 2 ,Ontario
Quadz Cannabis,Hamilton,110 George St,Ontario
Terps & Rec Cannabis,Etobicoke,127 Westmore Dr Unit 106,Ontario
Bud Room,Orleans,900 Watters Rd Unit 7,Ontario
Inspired Cannabis Co,Kingston,246 Princess St,Ontario
Inspired Cannabis Co,Komoka,10166 Glendon Dr Unit 204,Ontario
Ashario,North York,1111 A Finch Ave W Unit 1,Ontario
Greenleaf Cannabis,Lindsay,351 Kent St W Unit 1,Ontario
Consumers Cannabis,Etobicoke,4864 Dundas St W,Ontario
Red Rock Cannabis Co.,Toronto,6 Church St,Ontario
Toke Cannabis,Beamsville,4999 King Street,Ontario
True North Cannabis Company,Cambridge,960 King St E Suite 3,Ontario
Stash & Co.,Stittsville,1122 Carp Rd Unit 155,Ontario
Value Buds,Windsor,1916 Wyandotte St W,Ontario
Plateau,Ottawa,440 Preston St,Ontario
High Society Cannabis Co,Cochrane,86 Sixth Ave,Ontario
True North Cannabis Co. ,Tillsonburg,110 Broadway St,Ontario
Erbalist,Uxbridge,108 Brock St W,Ontario
The Farmhouse Cannabis Co.,Burlington,666 Appleby Line Suite C101,Ontario
Sessions Cannabis - Dundurn,Hamilton,50 Dundurn St S Unit 6,Ontario
Nature’S Canopy House,East York,1359 Woodbine Ave,Ontario
Tokyo Smoke,Windsor ,3100 Howard Ave Unit T19A,Ontario
Bent Bud,Combermere,39268 Combermere Road,Ontario
Inspired Cannabis Co,Orleans,6489 Jeanne D'Arc Blvd N,Ontario
Malibu Munchies ,East York,871 O'Connor Dr,Ontario
Sessions Cannabis - Humberlea,Toronto,"39 Abraham Welsh Rd, Unit C-7",Ontario
Uplift Cannabis,Orillia,190 Memorial Ave Unit C,Ontario
Cannaverse,Nepean,3090 Carling Ave Unit 5A,Ontario
Tweed Ajax,Ajax,"75 Bayly St W Units 12, 13, 14",Ontario
Vip Cannabis Co.,Woodstock,930 Dundas St Unit 107,Ontario
Jackpot Cannabis ,Etobicoke,2348 Lake Shore Blvd W,Ontario
Alphabud Cannabis Company,East York,1186 Woodbine Ave,Ontario
Smoke Lab Cannabis,York,2427 Eglinton Ave W Unit 2,Ontario
Shinybud Cannabis Co. 2600 Kemptville,Kemptville ,2600 County Road 43 Unit 32D,Ontario
True North Cannabis Co. ,Fort Erie,201 Jarvis St,Ontario
Sessions Cannabis,Ottawa,603 Somerset St W,Ontario
The Hunny Pot Cannabis Co.,Niagara Falls,6161 Thorold Stone Rd Unit 5,Ontario
True North Cannabis Company,Aylmer,115 Talbot St W,Ontario
Cannabis 228,Renfrew,28 Raglan St N Suite 228,Ontario
Puffs Haven,Toronto,569 Yonge St,Ontario
Uptown Herb,Waterloo,56 King St N. Unit 3,Ontario
Dutch Love Cannabis Hampton Park,Ottawa,1405 Carling Ave Unit 1395,Ontario
True North Cannabis Co. ,Trenton,82 Division St,Ontario
Blunted Aisle,Toronto,668 Queen St E,Ontario
The Spot Cannabis,Waterdown,5 Mill St South Unit 2,Ontario
Good Cookie Town Center,Scarborough,1595 Ellesmere Rd,Ontario
Toke House,Thunder Bay,320 Arundel St Unit C,Ontario
Cannabis Bazaar,Kingston,1126 Sydenham Rd,Ontario
Gingers Cannabis,Oldcastle,5580 Walker Rd Unit 2 Rr 1,Ontario
Toke Cannabis,Welland,589 South Pelham Rd Unit 150,Ontario
Spiritleaf Beaches,Toronto,2116 Queen St E Unit J,Ontario
One Plant Brampton,Brampton,160 Great Lakes Dr Unit 123A,Ontario
Emery Brothers Cannabis,London,725 Hamilton Rd Unit 3,Ontario
Reserved Cannabis,Etobicoke,944 The Queensway,Ontario
Lagoo,Tillsonburg,71 Broadway Street,Ontario
Nuclear Lettuce,Kincardine,855A Queen St,Ontario
The Green Bouquet Cannabis,Port Sydney,15 South Mary Lake Rd Unit 2,Ontario
Metro Cannabis,Toronto,62-66 Overlea Blvd Unit 11,Ontario
Pleasantrees,Burlington,372 Brant St,Ontario
Northern Helm Cannabis,Kingston,225 Gore Rd Unit 2,Ontario
Dutch Love Cannabis,Parry Sound,1 Pine Dr Building C Unit 7 ,Ontario
Out & About Cannabis,Gloucester,665 Earl Armstrong Rd Unit 8,Ontario
Stash & Co.,Port Hope,141 Toronto Rd Suite 121,Ontario
Cannaverse,Toronto,424 Bloor St W,Ontario
The Herbary,London,1120 Wellington Rd Unit 4,Ontario
Canna Cabana (Bathurst Steeles),North York,6231 Bathurst St,Ontario
Stash & Co,Oshawa,843 King St W,Ontario
Cannabis Xpress,Brampton,405 Veterans Dr,Ontario
Rightpuff Cannabis,London,919 Commissioners Rd E Suite 3,Ontario
Ashario,North York,6464 Yonge St Unit 187,Ontario
Kanab,North York,865 York Mills Rd Unit 18,Ontario
Uncle Herbs Cannabis,Stoney Creek,438 Highway 8 Suite 1,Ontario
Sweet Releafs Inc,Burlington,728 Burloak Drive Unit C4,Ontario
Sessions Cannabis - Brantford,Brantford,"175-181 Lynden Rd, Unit F2",Ontario
Budders,Acton,372 Queen St E Unit A4,Ontario
Wonder Pot,Toronto,"605 Bloor St W, Second Level West",Ontario
The Bend Cannabis Co.,Grand Bend,19 Main St W,Ontario
Can Of Bees,East York,943 O'Connor Dr,Ontario
Sky Cannabis,Hamilton,675 Fennell Ave E,Ontario
The Smoke And Leaf Ltd.,Napanee,12 Dundas St E,Ontario
Value Buds,Angus,4 Pine River Rd Unit 3,Ontario
T Cannabis Nw - Cochrane,Cochrane,143 Fourth St W,Ontario
"High Supply Cannabis Co., Brantford",Brantford,20 King George Rd Unit 2 & 3,Ontario
Sessions Windsor,Windsor,650 Division Rd Unit 402,Ontario
Shinybud Cannabis Co. Elmvale,Elmvale,29A Queen St W,Ontario
Tokyo Smoke,Wasaga Beach,1890 Mosley St Unit 2,Ontario
Weedy Point,St Catharines,85 Niagara St,Ontario
Sessions Cannabis Wasaga Beach,Wasaga Beach,3 Market Lane Unit 1,Ontario
Cannabis Cannabis,Stratford,90 Wellington St,Ontario
Cannabis Jacks,Timmins,1869 Riverside Dr Unit 1B,Ontario
Crown Leaf,Brampton,1 Steeles Ave E Unit 14,Ontario
Sessions Cannabis - Walkerton,Walkerton,206 Durham St E Unit A,Ontario
Fika Canary,Toronto,430 Front St E Unit 15A,Ontario
Value Buds,Meaford,100 Sykes St N,Ontario
Grand Cannabis,Tillsonburg,523 Broadway St Unit B,Ontario
Go Hi Ltd ,North York,18 Satterly Rd,Ontario
Buzzed Buds,Uxbridge,2 Brock St W Units 3 & 3A,Ontario
Puffin’S Cannabis,Huntsville,96 Main St E Unit E,Ontario
True North Cannabis,Grand Bend,31 Ontario St N Unit 2 & 3,Ontario
Dutch Love Cannabis,Waterloo,440-450 Columbia St W,Ontario
Star Buds Cannabis Co.,Angus,285 Mill St Unit 106,Ontario
Hidden Leaf Cannabis Co.,Brampton,1 Wexford Rd Unit 4,Ontario
Paradise Cannabis,Niagara Falls,4025 Dorchester Rd Unit A3,Ontario
Spiritleaf,Orleans,2026 Tenth Line Rd Unit B2,Ontario
Due North Cannabis Co.,Sault Ste. Marie ,719 Airport Rd,Ontario
Value Buds,Burlington,1235 Fairview St Unit A,Ontario
Vivid Cannabis Co.,Thornbury,49 Bruce St S,Ontario
Qbud ,Tillsonburg,200 Broadway St Unit A1052,Ontario
Shinybud Cannabis Co. Embrun,Embrun,649 Notre Dame St Unit 108,Ontario
Speakeasy Cannabis Midland,Midland,9225 93 Hwy Unit 16,Ontario
Forever Buds,Toronto,722 College St Unit 1,Ontario
The Cannabis Retail Store,Leamington,280-304 Erie St S Unit 4,Ontario
Moksha Cannabis,Northyork,4720 Jane St Unit 6,Ontario
Value Buds,Niagara Falls,3714 Portage Rd Unit 210,Ontario
Holland Daze,Wasaga Beach,1288 Mosley St Unit 5,Ontario
Olympus Cannabis,Bradford,12 Holland St W,Ontario
Capturing Eden,Minden,12818 Highway 35,Ontario
Chamba Cannabis Co,Brampton,20 Gillingham Dr Unit 609,Ontario
The Herbary,Nepean,1121 Meadowlands Dr E Unit E,Ontario
Value Buds,Wasaga Beach,1295 Mosley St Unit 5,Ontario
True North Cannabis Co. ,Hanover,513 11Th Ave,Ontario
True North Cannabis Co. ,Ottawa,1262.5 Wellington St West,Ontario
True North Cannabis Co. ,Goderich,4 Courthouse Sq,Ontario
Spiritleaf Windsor,Windsor ,1440 Huron Church Rd Unit 7,Ontario
The Hunny Pot Cannabis Co.,Cambridge,100 Jamieson Pky Suite 7,Ontario
Shinybud Cannabis Co. 444 Dundas Belleville,Belleville,444 Dundas St E Unit F,Ontario
Miss Jones,Ancaster,1015 Golf Links Rd Unit 202B,Ontario
White Rabbit Cannabis,Toronto,666 Mount Pleasant Rd,Ontario
True North Cannabis Co. ,Timmins,214 Third Ave,Ontario
Arcade Cannabis,Scarborough,6758 Kingston Rd Unit 1B,Ontario
Runway Pot,Etobicoke,936 Dixon Rd Unit B,Ontario
Capturing Eden,Delhi,553 James St,Ontario
Strictly Cannabis,Scarborough,3351 Markham Rd Suite 136,Ontario
Euphoria Bud,North York,1027 Finch Ave W Unit 4C,Ontario
Green Merchant Cannabis Boutique,Toronto,461 Bloor St W,Ontario
The Haze Co.,Port Dover,7 Main St,Ontario
Calyx + Trichomes Cannabis,Kingston,1206 Highway 15 Suite 6,Ontario
True North Cannabis Co. ,Napanee,7 Market Sq,Ontario
Plug Canna6Is,Scarborough,3599 Sheppard Ave E,Ontario
Cannabis Cove ,Wasaga Beach,113 Main St,Ontario
Pop’S Cannabis Co. Kirkland Lake,Kirkland Lake,150 Government Rd W Unit 260,Ontario
True North Cannabis Co.,Campbellford,52 Bridge St E,Ontario
Soma Leaf Company,Thornbury,99 King St E Unit C,Ontario
Shinybud Cannabis Co. Robertson Ottawa,Ottawa,2090 Robertson Rd Unit J,Ontario
Pop’S Cannabis Co. Sturgeon Falls,Sturgeon Falls,12006 17 Hwy E Suite 2,Ontario
Cannaverse,Ajax,314 Harwood Ave S Unit 16,Ontario
Ciao Canna,Scarborough,2155 Lawrence Ave E Unit 4,Ontario
True North Cannabis Co. ,North Bay,496 Main St E,Ontario
Shinybud Cannabis Co. Liverpool Rd,Pickering,1794 Liverpool Rd Unit 10,Ontario
Due North Cannabis Co.,Sault Ste. Marie,695 Pine St Unit T6,Ontario
Bud Heaven,Bracebridge ,125 Muskoka Rd 118 W Unit 6,Ontario
Northern Helm Cannabis,Bowmanville,2377 Highway 2 Unit 226,Ontario
Cannabis Plus Store,Thunder Bay,128 Simpson St,Ontario
Cannabis Grey Bruce,Southampton,17 Albert St N,Ontario
Tokyo Smoke,London,645 Commissioners Rd E Unit 103,Ontario
Spiritleaf,Toronto,2561 St Clair Ave W Unit B2,Ontario
Canna Cabana,Guelph,106 Silvercreek Pky N Unit 1,Ontario
Best Cannabis,Port Hope,68 Wellington St Unit 3,Ontario
Northern Helm,Ottawa,780 Baseline Rd Unit 5,Ontario
Sessions Cannabis,Kingston,1718 Bath Rd Unit 2,Ontario
Pink Alien,Brantford,204 Dalhousie St,Ontario
Cannabis 151,Etobicoke,188 The Queensway,Ontario
True North Cannabis Co. ,Sudbury,372 Riverside Dr,Ontario
Planet Earth Cannabis ,Ottawa,3685 Riverside Dr,Ontario
The Cannabist Shop - Manitou,Kitchener,5 Manitou Dr Suite 104,Ontario
Cannabis Street,Oshawa,1100 Simcoe St N Unit 3,Ontario
London Haze,Toronto,458 Kingston Rd,Ontario
The Hunny Pot Cannabis Co.,Hamilton,659 Upper James St,Ontario
The Green Cloud Cannabis,Arthur,7999 Wellington Rd 109 Building 1 Unit 3,Ontario
Sessions Cannabis Port Colborne,Port Colborne,287 West Side Rd Unit 105,Ontario
Fika Local Cannabis,Barrie,33 Mapleview Dr W Unit C007,Ontario
Fika Sudbury,Sudbury,2408 Long Lake Rd Unit E006,Ontario
Fika Windsor,Windsor,3222A Dougall Ave,Ontario
Fika Local Cannabis,St Thomas,1063 Talbot St Unit L0002B,Ontario
Capturing Eden ,Hagersville,18 Main St N,Ontario
Value Buds,Brampton,90 Resolution Dr Unit 103,Ontario
Value Buds,Toronto,2575 Danforth Ave Unit 15,Ontario
Cookies,Toronto,278A Queen St W,Ontario
Happy Hippy Cannabis Store,Niagara Falls,3464 Cattell Dr Unit 4,Ontario
Inspired Cannabis,Gloucester,1980 Ogilvie Rd Unit 145,Ontario
The Herbary,Ottawa,1301 Richmond Rd,Ontario
Shinybud Cannabis Co. 308 North Front St,Belleville,308 North Front St Unit 101,Ontario
Offside Cannabis,Pickering,776 Liverpool Rd Unit 4,Ontario
Dab Cannabis ,Brampton,227 Vodden St E Unit 15,Ontario
King Of Queens Cannabis Company,Sturgeon Falls,218 Main St,Ontario
Lolly,Pickering,715 Krosno Blvd,Ontario
Star Buds Cannabis Co.,Wasaga Beach,30 45Th St S Unit 6,Ontario
One Plant Strathroy,Strathroy,70 Carroll St E Unit A6 & A7,Ontario
Tokyo Smoke,Orleans,2006 Mer Bleue Rd Unit G1,Ontario
Bud'S Cannabis Store,Milton,300 Main St E,Ontario
High Tea Cannabis Co.,Scarborough,4190 Kingston Rd Unit 7B,Ontario
Mary J'S Cannabis Campbellford,Campbellford,45-49 Front St N Unit 46 & 47,Ontario
Montrose,Pickering,1755 Pickering Pky Unit A-021B,Ontario
The Underground,Tillsonburg,107F Concession St E,Ontario
Uplift Cannabis,Angus,165 Mill St Unit 2,Ontario
Spiritleaf Park Place,Barrie,120 Park Place Boulevard Unit 1 Building 3,Ontario
The Hunny Pot Cannabis Co.,St Catharines,495 Welland Ave,Ontario
Tokyo Smoke,Waterloo,94 Bridgeport Rd E Suite 135,Ontario
Cantopia Cannabis Co.,Brampton,"55 Mountainash Road, D2-A",Ontario
Weedjar,East York,1127B Broadview Ave,Ontario
Canna Cabana ,Ancaster,14 Martindale Cres Unit 4A,Ontario
Uphi Cannabis Emporium,St Catharines,284-286 Geneva St Unit 7,Ontario
F1Ne Cannabis,St Catharines,5 Peacock Bay,Ontario
Bud Brothers Cannabis,Hamilton,1568 Main St W,Ontario
Spiritleaf Ajax,Ajax,145 Kingston Rd E Suite 20,Ontario
Happy Way Cannabis,Oshawa,8 Midtown Dr Suite 2,Ontario
One Plant Scarborough,Scarborough ,43 Milner Ave Unit C-1D ,Ontario
Spiritleaf,Oshawa ,250 Taunton Rd East Unit 12,Ontario
Red Rock Cannabis Co.,Ajax,65 Kingston Rd E Suite 2,Ontario
Stash And Co.,Collingwood,99 Balsam St Unit J2A,Ontario
Tokyo Smoke,North York,5095 Yonge St Unit A005,Ontario
Capturing Eden,Port Burwell,39 Robinson'S Street,Ontario
T Cannabis Nw - Kenora,Kenora,400 Second St S ,Ontario
Civilian House Of Cannabis,Toronto,734 Queen St W,Ontario
Toke House,Dryden,539 Government St Unit 16,Ontario
Green Apple Cannabis,Burks Falls,51 Commercial Dr,Ontario
Hespeler Village Cannabis ,Cambridge,209 Pinebush Rd Suite 6,Ontario
Wonderland Cannabis,Toronto,266 Adelaide St W Unit 2,Ontario
Breaking Bud Cannabis,Scarborough,685W Markham Rd,Ontario
High Tea Cannabis Co.,Brampton,50 Kennedy Rd S Unit 8,Ontario
Island Smoke,Hamilton ,1354 Barton St E.  Unit 1,Ontario
Paramount Cannabis Company,Windsor,1149-1151 Lauzon Road,Ontario
Golden Tree Cannabis,Brampton,10671 Chinguacousy Rd Unit B7,Ontario
Spiritleaf Brampton (Imperial Centre),Brampton,2456 Queen St E Suite 2,Ontario
One Plant Pickering,Pickering,705 Kingston Rd Suite 1,Ontario
Cannabis Cupboard,Hamilton,410 Upper Sherman Ave,Ontario
Trees In The Six ,Toronto,14 Saint Andrew St,Ontario
Tokyo Smoke,Stratford,925 Ontario St Unit 5B,Ontario
Holland Daze,Pickering,981 Brock Rd Unit 2,Ontario
Tokyo Smoke,St Thomas,1055 Talbot St Unit 7,Ontario
Stash And Co.,London,215 Dundas St Unit L1 & 01,Ontario
Pop'S Cannabis Co. New Liskeard,New Liskeard,883303 Highway 65 Unit 11,Ontario
